transaction_id,transaction_date,account_id,transaction_type,transaction_amount,transaction_currency,fx_rate,transaction_amount_euro
1000063,2025-02-11,3480,withdrawal,2417.7,CZK,25.101,96.31887175809729
1000064,2025-01-19,3256,withdrawal,2493.35,ISK,145.1,17.18366643694004
1000065,2025-02-26,4579,withdrawal,3971.8,CHF,0.9392,4228.918228279386
1000066,2025-02-14,2197,transfer,1023.12,PLN,4.1653,245.62936643218976
1000067,2025-02-17,2604,deposit,3222.83,BGN,1.9558,1647.832089170672
1000068,2025-02-19,1306,withdrawal,1967.65,CZK,25.101,78.38930719891638
1000069,2025-02-05,2173,deposit,3144.08,BGN,1.9558,1607.5672359136927
1000070,2025-01-14,1923,deposit,4140.08,CZK,25.294,163.678342689966
1000071,2025-01-12,4809,transfer,4008.63,BGN,1.9558,2049.6114122098375
1000072,2025-01-09,3041,transfer,5936.45,BGN,1.9558,3035.305245935167
1000073,2025-02-26,1406,withdrawal,7092.2,BGN,1.9558,3626.239901830453
1000074,2025-01-02,3871,deposit,3903.44,BGN,1.9558,1995.8277942529912
1000075,2025-03-05,3594,deposit,7029.08,NOK,11.82,594.6768189509306
1000076,2025-01-14,2224,transfer,9200.15,GBP,0.84288,10915.136199696279
1000077,2025-01-22,4246,withdrawal,9042.26,AUD,1.6603,5446.160332470035
1000078,2025-03-01,2669,deposit,9133.03,DKK,7.4583,1224.5458080259577
1000079,2025-01-19,1080,transfer,1292.91,GBP,0.84453,1530.9225249547087
1000080,2025-01-24,4578,withdrawal,7539.35,SEK,11.459,657.9413561392793
1000081,2025-02-05,2009,withdrawal,4689.88,JPY,159.25,29.449795918367347
1000082,2025-01-10,367,transfer,6337.54,AUD,1.6655,3805.1876313419393
1000083,2025-01-28,2027,withdrawal,8460.14,NOK,11.7785,718.2697287430487
1000084,2025-03-07,2346,transfer,5453.22,BGN,1.9558,2788.2298803558647
1000085,2025-01-28,3804,withdrawal,5582.09,PLN,4.2078,1326.6053519653976
1000086,2025-02-22,246,withdrawal,8517.94,RON,4.9773,1711.3575633375526
1000087,2025-02-02,3058,deposit,2351.47,ISK,146.7,16.029107021131562
1000088,2025-02-12,2765,deposit,2377.74,PLN,4.1713,570.0237336082276
1000089,2025-02-11,4347,withdrawal,7440.96,TRY,37.22,199.91832348199893
1000090,2025-02-09,1780,transfer,9831.21,AUD,1.6525,5949.295007564296
1000091,2025-02-18,1929,transfer,2768.81,CHF,0.9425,2937.729442970822
1000092,2025-03-04,4669,transfer,4351.92,AUD,1.6919,2572.2087593829424
1000093,2025-02-18,2582,transfer,8022.7,NOK,11.659,688.1121880092631
1000094,2025-01-02,3516,withdrawal,4534.84,JPY,162.04,27.985929400148112
1000095,2025-01-20,2557,transfer,3889.92,GBP,0.84588,4598.666477514541
1000096,2025-01-06,4976,deposit,454.32,JPY,163.25,2.782970903522205
1000097,2025-01-11,3315,deposit,8595.8,ISK,145.3,59.15898141775636
1000098,2025-02-14,1335,deposit,4038.86,CHF,0.9442,4277.547129845371
1000099,2025-01-15,4761,withdrawal,5816.69,HUF,410.63,14.165282614519153
1000100,2025-01-28,888,withdrawal,8011.99,GBP,0.83868,9553.095340296657
1000101,2025-01-05,58,transfer,8036.98,HUF,414.93,19.369484009350973
1000102,2025-02-12,3230,withdrawal,7115.18,ISK,146.4,48.60095628415301
1000103,2025-01-28,1900,deposit,850.08,DKK,7.4626,113.91204137968
1000104,2025-01-18,2298,transfer,781.07,HUF,412.65,1.8928147340361083
1000105,2025-01-14,3888,withdrawal,2300.08,GBP,0.84288,2728.834472285497
1000106,2025-01-09,3173,deposit,8425.08,AUD,1.663,5066.193625977149
1000107,2025-01-08,2905,transfer,8178.18,DKK,7.4608,1096.1532275359211
1000108,2025-02-06,3328,withdrawal,9818.74,HUF,406.1,24.178133464663873
1000109,2025-01-22,2602,deposit,2353.25,TRY,37.231,63.206736321882296
1000110,2025-02-12,3193,withdrawal,3697.17,GBP,0.83338,4436.3555640884115
1000111,2025-02-07,3358,transfer,6011.05,AUD,1.6525,3637.5491679273828
1000112,2025-02-26,1199,transfer,7435.33,BGN,1.9558,3801.682176091625
1000113,2025-01-30,4507,withdrawal,8176.35,HUF,407.25,20.076979742173112
1000114,2025-02-25,2880,withdrawal,72.72,CZK,24.939,2.915914832190545
1000115,2025-03-10,3734,transfer,1936.97,HUF,399.45,4.849092502190512
1000116,2025-01-03,1446,withdrawal,2876.15,DKK,7.4599,385.5480636469658
1000117,2025-02-09,3839,transfer,4724.41,GBP,0.83353,5667.954362770386
1000118,2025-03-03,4059,withdrawal,8122.79,CHF,0.9428,8615.602460755197
1000119,2025-02-08,817,withdrawal,4532.76,AUD,1.6525,2742.9712556732225
1000120,2025-01-13,3205,withdrawal,1901.91,PLN,4.2715,445.2557649537634
1000121,2025-02-06,2286,deposit,8738.47,CZK,25.139,347.60611002824294
1000122,2025-02-14,83,transfer,4168.11,CZK,25.043,166.4381264225532
1000123,2025-02-02,3815,transfer,9408.1,TRY,37.266,252.45800461546722
1000124,2025-02-23,766,transfer,6529.83,ISK,145.7,44.81695264241593
1000125,2025-01-27,535,transfer,5577.81,NOK,11.8095,472.31550870062244
1000126,2025-02-08,3668,transfer,8980.51,SEK,11.2865,795.6859965445444
1000127,2025-01-13,2488,transfer,2512.25,SEK,11.5055,218.35209247751075
1000128,2025-01-29,2549,transfer,412.98,HUF,408.08,1.012007449519702
1000129,2025-02-28,3545,withdrawal,8930.37,PLN,4.1503,2151.7408380117104
1000130,2025-02-10,225,withdrawal,8610.54,DKK,7.4584,1154.4754907218708
1000131,2025-01-06,2131,deposit,8809.32,CZK,25.154,350.2154726882404
1000132,2025-02-27,3506,transfer,7095.75,GBP,0.82673,8582.91098665828
1000133,2025-02-04,3341,deposit,3501.32,AUD,1.6629,2105.5505442299595
1000134,2025-01-05,1696,transfer,4015.03,AUD,1.6556,2425.1208021261177
1000135,2025-01-31,800,withdrawal,9734.44,CHF,0.9449,10302.08487670653
1000136,2025-01-13,3828,withdrawal,3459.35,PLN,4.2715,809.8677279644154
1000137,2025-02-05,2468,deposit,5973.61,PLN,4.1968,1423.3725695768205
1000138,2025-01-02,1611,withdrawal,6351.1,DKK,7.4583,851.5479398790609
1000139,2025-01-13,1417,withdrawal,8092.8,AUD,1.6578,4881.650380021716
1000140,2025-01-23,562,transfer,283.11,AUD,1.6594,170.60985898517538
1000141,2025-03-03,341,transfer,1328.47,TRY,38.149,34.82319326849983
1000142,2025-02-02,995,deposit,1121.63,DKK,7.4618,150.31627757377578
1000143,2025-01-23,2741,withdrawal,8146.48,DKK,7.4606,1091.9336246414496
1000144,2025-01-30,3084,transfer,6117.73,RON,4.9758,1229.4967643394027
1000145,2025-01-06,877,withdrawal,4505.91,GBP,0.83098,5422.404871356711
1000146,2025-01-26,1916,withdrawal,8992.83,PLN,4.2138,2134.1378328349706
1000147,2025-02-27,1900,withdrawal,6555.86,DKK,7.4584,878.9901319317815
1000148,2025-01-09,4455,withdrawal,800.76,SEK,11.4945,69.66462221062247
1000149,2025-02-03,3948,transfer,3594.18,TRY,36.972,97.2135670236936
1000150,2025-01-02,1701,transfer,9542.23,HUF,412.9,23.110268830225237
1000151,2025-01-09,4534,deposit,2965.07,RON,4.9734,596.1857079663812
1000152,2025-03-04,3809,deposit,6437.78,CHF,0.9371,6869.896489168711
1000153,2025-01-25,827,transfer,7776.7,AUD,1.66,4684.759036144578
1000154,2025-02-03,2479,withdrawal,227.59,AUD,1.6671,136.51850518865095
1000155,2025-01-24,4086,transfer,1879.23,DKK,7.4614,251.86024070549763
1000156,2025-01-18,322,deposit,6627.18,BGN,1.9558,3388.475304223336
1000157,2025-01-13,3179,deposit,1818.88,ISK,144.5,12.587404844290658
1000158,2025-01-11,4779,withdrawal,7957.52,BGN,1.9558,4068.6777789139996
1000159,2025-03-01,3509,deposit,7694.17,ISK,145.7,52.80830473575841
1000160,2025-03-08,4635,withdrawal,249.8,RON,4.9757,50.203991398195235
1000161,2025-01-08,3251,deposit,1041.17,JPY,162.94,6.389898122008102
1000162,2025-02-12,80,withdrawal,7122.46,TRY,37.432,190.2773028424877
1000163,2025-03-06,3656,deposit,3771.57,AUD,1.7037,2213.7524212009157
1000164,2025-01-28,422,deposit,7130.18,DKK,7.4626,955.4552032803581
1000165,2025-02-19,2969,transfer,8504.93,GBP,0.82838,10266.942707453101
1000166,2025-01-01,176,deposit,3283.03,SEK,11.459,286.5023125927219
1000167,2025-02-09,4654,deposit,4874.28,BGN,1.9558,2492.2180182022703
1000168,2025-02-14,2146,transfer,31.59,CHF,0.9442,33.45689472569371
1000169,2025-02-06,838,deposit,1743.18,BGN,1.9558,891.2874527047755
1000170,2025-01-29,4862,withdrawal,1622.55,BGN,1.9558,829.6093670109418
1000171,2025-01-08,3703,deposit,9249.69,SEK,11.5125,803.4475570032574
1000172,2025-03-06,2843,transfer,778.67,SEK,10.962,71.03357051632914
1000173,2025-01-21,1664,deposit,4638.99,CZK,25.178,184.24775597744062
1000174,2025-02-15,4199,deposit,6322.63,CZK,25.043,252.47094996605838
1000175,2025-02-12,249,transfer,2925.27,TRY,37.432,78.14891002350929
1000176,2025-02-27,4105,transfer,6707.68,PLN,4.1308,1623.8210516122786
1000177,2025-01-13,1952,transfer,253.68,NOK,11.709,21.665385600819885
1000178,2025-01-03,63,deposit,9005.83,JPY,161.77,55.67058169005377
1000179,2025-02-18,4633,withdrawal,8308.05,TRY,37.896,219.23290056998098
1000180,2025-03-07,141,deposit,900.02,CZK,25.016,35.97777422449632
1000181,2025-02-28,2355,withdrawal,6684.28,ISK,145.7,45.87700754975978
1000182,2025-02-19,1742,deposit,396.3,RON,4.9774,79.61988186603448
1000183,2025-01-11,604,withdrawal,4896.34,SEK,11.497,425.87979472905977
1000184,2025-02-23,3160,withdrawal,7900.03,HUF,404.6,19.525531389026195
1000185,2025-01-21,700,withdrawal,2473.13,ISK,145.9,16.950856751199453
1000186,2025-01-22,116,deposit,5078.92,GBP,0.84466,6012.975635166813
1000187,2025-02-05,1851,deposit,3149.06,SEK,11.3583,277.24747541445464
1000188,2025-02-11,1869,withdrawal,261.32,JPY,157.28,1.661495422177009
1000189,2025-02-25,1581,deposit,3161.28,RON,4.9774,635.1267730140233
1000190,2025-03-05,4448,deposit,1992.52,CZK,25.048,79.54806770999681
1000191,2025-01-24,25,transfer,2733.06,CZK,25.097,108.8998685101805
1000192,2025-01-15,543,withdrawal,1668.33,TRY,36.548,45.6476414578089
1000193,2025-01-24,2719,transfer,8258.47,AUD,1.66,4974.981927710844
1000194,2025-01-19,507,transfer,2793.91,GBP,0.84453,3308.242454382911
1000195,2025-01-28,1790,withdrawal,6365.15,JPY,161.86,39.3250339799827
1000196,2025-02-11,1060,transfer,7148.85,PLN,4.1785,1710.8651429938975
1000197,2025-02-28,1857,deposit,7339.2,CZK,25.029,293.2278556874026
1000198,2025-01-14,4900,withdrawal,3104.38,BGN,1.9558,1587.2686368749362
1000199,2025-02-01,260,deposit,4946.16,CZK,25.166,196.54136533418102
1000200,2025-03-09,3431,deposit,4266.34,BGN,1.9558,2181.3784640556296
1000201,2025-02-04,4210,transfer,8816.19,JPY,160.52,54.922688761525045
1000202,2025-02-24,679,deposit,5971.12,ISK,145.1,41.151757408683665
1000203,2025-01-11,2067,transfer,5310.75,CHF,0.9416,5640.133814783348
1000204,2025-01-02,2932,transfer,6042.89,AUD,1.6618,3636.3521482729575
1000205,2025-02-20,3735,transfer,6030.42,RON,4.9778,1211.462895254932
1000206,2025-02-25,3802,withdrawal,6004.03,HUF,401.2,14.965179461615154
1000207,2025-03-03,204,transfer,7962.98,JPY,158.33,50.29356407503315
1000208,2025-03-09,3927,transfer,6417.3,PLN,4.1788,1535.68009955011
1000209,2025-01-05,2976,withdrawal,7537.6,ISK,144.1,52.30811936155448
1000210,2025-01-23,983,transfer,4361.44,CHF,0.9442,4619.190849396314
1000211,2025-02-12,1801,withdrawal,1808.82,SEK,11.2895,160.22144470525708
1000212,2025-02-19,4416,deposit,330.1,AUD,1.6419,201.04756684329132
1000213,2025-01-18,3484,transfer,9651.51,JPY,160.23,60.235349185545786
1000214,2025-02-14,4887,deposit,4893.1,SEK,11.2445,435.15496464938417
1000215,2025-02-02,1930,deposit,1220.73,NOK,11.7373,104.00432808226765
1000216,2025-01-15,681,withdrawal,7604.39,CHF,0.9394,8094.943581009155
1000217,2025-02-12,2668,transfer,2989.66,RON,4.9767,600.7314083629714
1000218,2025-01-12,772,deposit,6371.25,ISK,145.3,43.84893324156916
1000219,2025-01-28,3856,transfer,3796.11,ISK,146.1,25.982956878850104
1000220,2025-02-23,830,withdrawal,6011.88,GBP,0.8276,7264.233929434509
1000221,2025-02-06,3346,transfer,8229.31,CHF,0.9385,8768.577517314863
1000222,2025-01-08,4022,transfer,2158.72,DKK,7.4608,289.3416255629423
1000223,2025-02-23,1128,deposit,8919.67,NOK,11.629,767.0195201651045
1000224,2025-01-10,3630,transfer,9956.39,NOK,11.757,846.8478353321425
1000225,2025-01-29,3766,transfer,4190.05,NOK,11.7785,355.7371481937429
1000226,2025-02-13,972,deposit,8167.05,BGN,1.9558,4175.810410062379
1000227,2025-02-16,4748,withdrawal,9782.04,CHF,0.9442,10360.135564499047
1000228,2025-01-08,328,withdrawal,4452.98,TRY,36.395,122.35142189861243
1000229,2025-02-03,3680,transfer,3337.87,RON,4.9769,670.672506982258
1000230,2025-02-01,3035,withdrawal,94.38,GBP,0.83608,112.88393455171753
1000231,2025-02-04,1137,deposit,7084.7,JPY,160.52,44.1359332170446
1000232,2025-01-10,1058,transfer,3739.2,DKK,7.4606,501.19293354421893
1000233,2025-02-23,4390,withdrawal,2579.08,SEK,11.1425,231.4633161319273
1000234,2025-02-02,2548,deposit,7468.91,GBP,0.83608,8933.248014544062
1000235,2025-01-27,4317,transfer,5888.79,SEK,11.496,512.2468684759916
1000236,2025-01-24,647,withdrawal,3961.67,DKK,7.4614,530.9553166965985
1000237,2025-02-23,3578,withdrawal,6110.44,SEK,11.1425,548.390397128113
1000238,2025-01-05,2997,transfer,6951.66,NOK,11.713,593.4995304362674
1000239,2025-01-25,3086,deposit,2283.98,NOK,11.7495,194.3895484914252
1000240,2025-02-09,3786,deposit,6554.06,GBP,0.83353,7863.016328146558
1000241,2025-02-21,1976,transfer,3337.12,BGN,1.9558,1706.2685346149913
1000242,2025-01-08,3959,deposit,7065.97,HUF,416.25,16.975303303303303
1000243,2025-03-05,1493,deposit,1542.04,TRY,38.962,39.57805040808993
1000244,2025-01-20,3405,deposit,1808.91,GBP,0.84588,2138.494821960562
1000245,2025-01-12,1510,withdrawal,842.5,CZK,25.09,33.5791151853328
1000246,2025-01-15,3622,deposit,1358.12,RON,4.9742,273.0328495034377
1000247,2025-03-10,1502,transfer,3332.88,NOK,11.6705,285.5815946189109
1000248,2025-02-23,4248,transfer,1070.62,RON,4.9773,215.1005565266309
1000249,2025-02-14,871,transfer,535.47,NOK,11.6515,45.957172896193626
1000250,2025-02-08,1724,withdrawal,4885.72,ISK,146.6,33.3268758526603
1000251,2025-02-18,95,withdrawal,9052.09,BGN,1.9558,4628.3311177011965
1000252,2025-01-30,2659,transfer,6306.6,JPY,160.32,39.337574850299404
1000253,2025-02-03,891,transfer,3496.85,TRY,36.972,94.58103429622416
1000254,2025-03-01,2865,deposit,4904.86,NOK,11.7245,418.3427864727706
1000255,2025-02-28,839,deposit,4403.67,TRY,38.019,115.82813856229781
1000256,2025-02-03,3726,transfer,5455.02,NOK,11.7138,465.6917481944373
1000257,2025-01-16,4128,withdrawal,6850.14,CZK,25.231,271.4969680155364
1000258,2025-03-08,732,transfer,3610.9,SEK,10.9715,329.1163468987832
1000259,2025-01-20,3079,withdrawal,3267.74,BGN,1.9558,1670.7945597709377
1000260,2025-01-28,858,deposit,2140.62,SEK,11.478,186.49764767381077
1000261,2025-03-09,2176,transfer,6054.1,SEK,10.9715,551.8023971198104
1000262,2025-01-04,4642,deposit,9950.74,ISK,144.1,69.05440666204025
1000263,2025-02-28,2296,deposit,8816.83,ISK,145.7,60.51358956760467
1000264,2025-03-03,1864,deposit,9295.02,GBP,0.8253,11262.595419847328
1000265,2025-02-18,209,withdrawal,57.81,BGN,1.9558,29.558237038552
1000266,2025-01-05,511,withdrawal,1290.31,CZK,25.166,51.271954223952946
1000267,2025-01-01,1106,withdrawal,8217.51,PLN,4.275,1922.2245614035087
1000268,2025-02-07,3645,transfer,1442.15,TRY,37.334,38.62832806557026
1000269,2025-01-15,2436,withdrawal,3657.56,GBP,0.84313,4338.073606679871
1000270,2025-03-02,4653,deposit,4604.17,CHF,0.9394,4901.181605279966
1000271,2025-02-13,201,deposit,9743.75,BGN,1.9558,4981.97668473259
1000272,2025-01-25,44,withdrawal,3698.12,CHF,0.9494,3895.2180324415417
1000273,2025-02-08,2248,transfer,19.33,CZK,25.108,0.7698741436992192
1000274,2025-01-15,176,transfer,6415.64,DKK,7.4611,859.8785701840212
1000275,2025-02-28,1389,deposit,2297.5,HUF,399.5,5.750938673341677
1000276,2025-01-17,2004,deposit,5045.7,RON,4.9765,1013.9053551692957
1000277,2025-01-05,4404,deposit,8039.02,DKK,7.4599,1077.6310674405825
1000278,2025-03-09,1732,withdrawal,8164.56,AUD,1.7258,4730.88422760459
1000279,2025-01-08,295,withdrawal,338.49,NOK,11.738,28.83711024024536
1000280,2025-01-09,1105,deposit,7489.09,HUF,413.98,18.090463307406154
1000281,2025-01-16,356,transfer,9309.0,PLN,4.2688,2180.7065217391305
1000282,2025-01-07,2250,withdrawal,5643.84,BGN,1.9558,2885.69383372533
1000283,2025-02-25,898,withdrawal,4873.22,JPY,157.19,31.002099370188944
1000284,2025-01-25,22,deposit,7115.66,PLN,4.2138,1688.6563197114244
1000285,2025-01-22,3511,withdrawal,5510.38,CHF,0.9449,5831.707058948037
1000286,2025-02-08,2292,deposit,9434.88,RON,4.9768,1895.7723838611155
1000287,2025-01-14,2769,withdrawal,6406.53,NOK,11.7195,546.6555740432613
1000288,2025-01-12,2980,withdrawal,3692.76,NOK,11.757,314.0903291656035
1000289,2025-02-23,417,deposit,1027.53,PLN,4.1683,246.51056785739988
1000290,2025-01-26,2549,deposit,9241.53,PLN,4.2138,2193.1581945037733
1000291,2025-02-04,839,transfer,2681.16,NOK,11.721,228.74840030714103
1000292,2025-03-05,2322,withdrawal,7950.65,TRY,38.962,204.06164981263794
1000293,2025-02-19,1970,deposit,7513.22,AUD,1.6419,4575.9303246239115
1000294,2025-01-21,4574,deposit,7077.99,JPY,161.26,43.891789656455416
1000295,2025-01-09,3835,withdrawal,9352.01,CHF,0.9397,9952.123017984464
1000296,2025-01-25,4478,transfer,7002.48,CHF,0.9494,7375.689909416473
1000297,2025-03-07,1164,withdrawal,7789.7,NOK,11.759,662.44578620631
1000298,2025-01-17,455,transfer,1357.66,PLN,4.2585,318.8117881883293
1000299,2025-01-06,1522,transfer,517.91,CZK,25.154,20.589568259521347
1000300,2025-02-08,4147,withdrawal,1877.53,JPY,157.77,11.900424668821701
1000301,2025-01-26,3109,withdrawal,9561.41,TRY,37.377,255.80999010086416
1000302,2025-01-23,2096,deposit,2388.93,RON,4.9763,480.0614914695657
1000303,2025-02-07,3634,withdrawal,6249.42,AUD,1.6525,3781.7972768532527
1000304,2025-02-16,3235,deposit,5324.33,AUD,1.6514,3224.1310403294174
1000305,2025-02-02,2180,transfer,4639.87,JPY,160.99,28.820858438412323
1000306,2025-03-02,4263,transfer,7224.33,NOK,11.7245,616.1738240436692
1000307,2025-02-04,4508,transfer,1178.95,CHF,0.9396,1254.7360578969774
1000308,2025-03-05,1268,withdrawal,7770.54,AUD,1.703,4562.85378743394
1000309,2025-01-25,29,deposit,724.66,BGN,1.9558,370.5184579200327
1000310,2025-01-11,2124,withdrawal,7211.93,JPY,162.86,44.28300380695075
1000311,2025-03-01,1547,deposit,7673.45,CHF,0.9394,8168.4585905897375
1000312,2025-01-30,2516,deposit,5926.37,GBP,0.83685,7081.7589771165685
1000313,2025-02-10,3562,withdrawal,8511.52,HUF,403.88,21.074378528275727
1000314,2025-01-13,4922,transfer,526.77,SEK,11.5055,45.78419016991874
1000315,2025-01-28,47,deposit,3285.41,JPY,161.86,20.297849993821817
1000316,2025-01-29,278,withdrawal,2746.78,JPY,161.5,17.007925696594427
1000317,2025-01-02,3271,deposit,7051.65,PLN,4.2753,1649.3930250508736
1000318,2025-01-10,3826,withdrawal,581.61,GBP,0.83693,694.9326705937176
1000319,2025-02-15,1835,deposit,1373.41,AUD,1.6514,831.6640426304954
1000320,2025-02-07,2635,deposit,4259.93,BGN,1.9558,2178.1010328254424
1000321,2025-01-13,980,withdrawal,2743.28,CHF,0.9346,2935.245024609459
1000322,2025-01-02,4943,withdrawal,8895.81,GBP,0.83118,10702.627589691763
1000323,2025-03-04,3232,withdrawal,5843.79,CHF,0.9371,6236.036708995838
1000324,2025-02-08,929,transfer,4158.61,AUD,1.6525,2516.556732223903
1000325,2025-02-05,2412,transfer,5660.94,SEK,11.3583,498.3967671218404
1000326,2025-01-07,2215,deposit,2313.0,BGN,1.9558,1182.6362613764188
1000327,2025-02-08,4224,transfer,902.45,DKK,7.46,120.97184986595175
1000328,2025-02-05,3396,withdrawal,8337.45,RON,4.9766,1675.3305469597717
1000329,2025-01-12,634,withdrawal,8491.03,JPY,162.86,52.13698882475746
1000330,2025-01-30,3303,withdrawal,7653.14,HUF,407.25,18.792240638428485
1000331,2025-02-16,909,deposit,7613.98,GBP,0.83215,9149.76867151355
1000332,2025-01-23,2935,deposit,2978.44,GBP,0.84468,3526.1163991097224
1000333,2025-01-29,4971,deposit,8339.19,BGN,1.9558,4263.8255445342065
1000334,2025-03-10,3229,transfer,7951.84,HUF,399.45,19.906972086619103
1000335,2025-01-16,2439,withdrawal,4383.72,GBP,0.84258,5202.734458449049
1000336,2025-01-06,3055,deposit,322.21,NOK,11.7095,27.516973397668558
1000337,2025-03-10,3603,deposit,6380.17,RON,4.9765,1282.0596804983422
1000338,2025-01-31,2196,withdrawal,2287.43,AUD,1.6702,1369.5545443659441
1000339,2025-01-02,2292,withdrawal,6938.3,TRY,36.452,190.34072204542963
1000340,2025-02-02,3904,withdrawal,1347.43,PLN,4.213,319.8267267980062
1000341,2025-01-14,1308,transfer,6190.14,RON,4.9749,1244.2742567689804
1000342,2025-02-08,4818,transfer,4636.6,CZK,25.108,184.66624183527165
1000343,2025-03-05,1015,transfer,451.88,GBP,0.835,541.1736526946108
1000344,2025-03-08,4419,deposit,1830.46,GBP,0.84088,2176.8385500903814
1000345,2025-01-19,2883,withdrawal,1376.7,ISK,145.1,9.487939352170917
